datum;feiertag
2018-01-01;Neujahr
2018-03-30;Karfreitag
2018-04-02;Ostermontag
2018-05-01;Maifeiertag
2018-05-01;Maifeiertag
2018-05-10;Himmelfahrt
2018-05-21;Himmelfahrt
2018-05-21;Pfingstmontag
2018-05-30;Himmelfahrt
2018-06-01;Pfingstmontag
2018-06-10;Pfingstmontag
2018-10-03;Tag der Deutschen Einheit
2018-10-31;Reformationstag
2018-12-25;1. Weihnachtsfeiertag
2018-12-26;2. Weihnachtsfeiertag
2019-01-01;Neujahr
2019-04-19;Karfreitag
2019-04-22;Ostermontag
2019-05-01;Maifeiertag
2019-05-30;Himmelfahrt
2019-06-10;Pfingstmontag
2019-10-03;Tag der Deutschen Einheit
2019-10-31;Reformationstag
2019-12-25;1. Weihnachtsfeiertag
2019-12-26;2. Weihnachtsfeiertag
2020-01-01;Neujahr
2020-04-10;Karfreitag
2020-04-13;Ostermontag
2020-05-01;Maifeiertag
2020-04-13;Ostermontag
2020-05-21;Himmelfahrt
2020-06-01;Pfingstmontag
2020-10-03;Tag der Deutschen Einheit
2020-10-31;Reformationstag
2020-12-25;1. Weihnachtsfeiertag
2020-12-26;2. Weihnachtsfeiertag
2021-01-01;Neujahr
2021-04-02;Karfreitag
2021-04-05;Ostermontag
2021-05-01;Maifeiertag
2021-05-13;Himmelfahrt
2021-05-24;Pfingstmontag
2021-10-03;Tag der Deutschen Einheit
2021-10-31;Reformationstag
2021-12-25;1. Weihnachtsfeiertag
2021-12-26;2. Weihnachtsfeiertag
2022-01-01;Neujahr
2022-04-15;Karfreitag
2021-04-18;Ostermontag
2022-05-01;Maifeiertag
2022-05-26;Himmelfahrt
2022-06-06;Pfingstmontag
2022-10-03;Tag der Deutschen Einheit
2022-10-31;Reformationstag
2022-12-25;1. Weihnachtsfeiertag
2022-12-26;2. Weihnachtsfeiertag
2023-01-01;Neujahr
2023-04-07;Karfreitag
2023-04-10;Ostermontag
2023-05-01;Maifeiertag
2023-05-18;Himmelfahrt
2023-05-29;Pfingstmontag
2023-10-03;Tag der Deutschen Einheit
2023-10-31;Reformationstag
2023-12-25;1. Weihnachtsfeiertag
2023-12-26;2. Weihnachtsfeiertag
2024-01-01;Neujahr
2024-03-29;Karfreitag
2024-04-01;Ostermontag
2024-05-01;Maifeiertag
2024-05-09;Himmelfahrt
2024-05-20;Pfingstmontag
2024-10-03;Tag der Deutschen Einheit
2024-10-31;Reformationstag
2024-12-25;1. Weihnachtsfeiertag
2024-12-26;2. Weihnachtsfeiertag
2025-01-01;Neujahr
2025-04-18;Karfreitag
2025-04-21;Ostermontag
2025-05-01;Maifeiertag
2025-05-29;Himmelfahrt
2025-06-09;Pfingstmontag
2025-10-03;Tag der Deutschen Einheit
2025-10-31;Reformationstag
2025-12-25;1. Weihnachtsfeiertag
2025-12-26;2. Weihnachtsfeiertag
2026-01-01;Neujahr
2026-04-03;Karfreitag
2026-04-06;Ostermontag
2026-05-01;Maifeiertag
2026-05-14;Himmelfahrt
2026-05-25;Pfingstmontag
2026-10-03;Tag der Deutschen Einheit
2026-10-31;Reformationstag
2026-12-25;1. Weihnachtsfeiertag
2026-12-26;2. Weihnachtsfeiertag

